Date,Buy_cash,Buy_transfer,Sell
2020-04-01,25297.47,25553.0,26506.55
2020-04-02,25297.47,25553.0,26506.55
2020-04-03,24742.47,24992.39,25936.23
2020-04-04,24742.47,24992.39,25936.23
2020-04-05,24742.47,24992.39,25936.23
2020-04-06,24832.02,25082.85,26018.95
2020-04-07,24854.44,25105.49,26121.77
2020-04-08,24920.32,25172.04,26190.96
2020-04-09,24879.36,25130.67,26147.94
2020-04-10,24987.07,25239.46,26261.2
2020-04-11,24987.07,25239.46,26261.2
2020-04-12,24987.07,25239.46,26261.2
2020-04-13,24965.75,25217.93,26238.79
2020-04-14,24980.2,25232.53,26253.96
2020-04-15,25025.16,25277.94,26301.22
2020-04-16,24863.58,25114.73,26131.39
2020-04-17,24738.85,24988.74,25989.23
2020-04-18,24738.85,24988.74,25989.23
2020-04-19,24738.85,24988.74,25989.23
2020-04-20,24825.55,25076.31,26091.42
2020-04-21,24763.83,25013.97,26026.56
2020-04-22,24826.14,25076.91,26092.03
2020-04-23,24790.07,25040.47,26054.09
2020-04-24,24627.5,24876.26,26034.9
2020-04-25,24627.5,24876.26,26034.9
2020-04-26,24627.5,24876.26,26034.9
2020-04-27,24820.13,25070.84,26085.72
2020-04-28,24743.26,24993.19,25993.86
2020-04-29,24761.81,25011.93,26024.47
2020-04-30,24761.81,25011.93,26024.47
2020-05-01,24761.81,25011.93,26024.47
2020-05-02,24761.81,25011.93,26024.47
2020-05-03,24761.81,25011.93,26024.47
2020-05-04,24957.39,25209.48,26230.0
2020-05-05,24896.5,25147.98,26166.02
2020-05-06,24711.6,24961.21,25971.69
2020-05-07,24615.21,24863.85,25870.41
2020-05-08,24673.3,24922.53,25931.5
2020-05-09,24673.3,24922.53,25931.5
2020-05-10,24673.3,24922.53,25931.5
2020-05-11,24664.35,24913.48,25922.11
2020-05-12,24613.5,24862.12,25868.66
2020-05-13,24714.29,24963.93,25974.58
2020-05-14,24626.92,24875.68,25882.74
2020-05-15,24614.1,24862.73,25869.28
2020-05-16,24614.1,24862.73,25869.28
2020-05-17,24614.1,24862.73,25869.28
2020-05-18,24611.22,24859.82,25866.27
2020-05-19,24820.23,25070.94,26085.99
2020-05-20,24814.09,25064.74,26079.56
2020-05-21,24886.68,25138.06,26155.84
2020-05-22,24744.62,24994.57,26006.53
2020-05-23,24744.62,24994.57,26006.53
2020-05-24,24744.62,24994.57,26006.53
2020-05-25,24732.55,24982.37,25993.82
2020-05-26,24801.52,25052.04,26066.29
2020-05-27,24933.36,25185.21,26204.85
2020-05-28,25018.71,25271.42,26294.58
2020-05-29,25156.07,25410.17,26438.96
2020-05-30,25156.07,25410.17,26438.96
2020-05-31,25156.07,25410.17,26438.96
2020-06-01,25241.0,25495.96,26528.25
2020-06-02,25227.4,25482.22,26513.95
2020-06-03,25397.44,25653.98,26692.66
2020-06-04,25435.98,25692.91,26733.17
2020-06-05,25737.78,25997.76,27050.38
2020-06-06,25737.78,25997.76,27050.38
2020-06-07,25737.78,25997.76,27050.38
2020-06-08,25591.1,25849.6,26896.23
2020-06-09,25452.08,25709.17,26750.16
2020-06-10,25660.04,25919.23,26968.72
2020-06-11,25683.94,25943.37,26993.8
2020-06-12,25557.14,25815.29,26860.53
2020-06-13,25557.14,25815.29,26860.53
2020-06-14,25557.14,25815.29,26860.53
2020-06-15,25482.41,25739.81,26782.0
2020-06-16,25633.66,25892.59,26940.99
2020-06-17,25483.41,25740.82,26783.08
2020-06-18,25422.36,25679.15,26718.91
2020-06-19,25362.8,25618.99,26656.29
